08868: Fangst, etter år, landingskommune, fangstart og statistikkvariabel;;;;
;;;;
år;landingskommune;fangstart;Mengde (tonn);Verdi (1 000 kr)
2000;0130 Tune (-1991);Annan fisk, uspesifisert;0;0
2000;0131 Rolvsøy (1911-1993);Fisk i alt;0;0
2000;0131 Rolvsøy (1911-1993);Pelagisk fisk;0;0
2000;0131 Rolvsøy (1911-1993);Torsk og torskeartar;0;0
2000;0131 Rolvsøy (1911-1993);Flatfisk og botnfisk;0;0
2000;0131 Rolvsøy (1911-1993);Djupvassfisk;0;0
2000;0131 Rolvsøy (1911-1993);Andre skaldyr og blautdyr;0;0
2000;0131 Rolvsøy (1911-1993);Annan fisk, uspesifisert;0;0
2000;0133 Kråkerøy (1908-1993);Fisk i alt;0;0
2000;0133 Kråkerøy (1908-1993);Pelagisk fisk;0;0
2000;0133 Kråkerøy (1908-1993);Torsk og torskeartar;0;0
2000;0133 Kråkerøy (1908-1993);Flatfisk og botnfisk;0;0
2000;0133 Kråkerøy (1908-1993);Djupvassfisk;0;0
2000;0133 Kråkerøy (1908-1993);Andre skaldyr og blautdyr;0;0
2000;0133 Kråkerøy (1908-1993);Annan fisk, uspesifisert;0;0
2000;0134 Onsøy (-1993);Fisk i alt;0;0
2000;0134 Onsøy (-1993);Pelagisk fisk;0;0
2000;0134 Onsøy (-1993);Torsk og torskeartar;0;0
2000;0134 Onsøy (-1993);Flatfisk og botnfisk;0;0
2000;0134 Onsøy (-1993);Djupvassfisk;0;0
2000;0134 Onsøy (-1993);Andre skaldyr og blautdyr;0;0
2000;0134 Onsøy (-1993);Annan fisk, uspesifisert;0;0
2000;0135 Råde (-2019);Fisk i alt;0;0
2000;0135 Råde (-2019);Pelagisk fisk;0;0
2000;0135 Råde (-2019);Torsk og torskeartar;0;0
2000;0135 Råde (-2019);Flatfisk og botnfisk;0;0
2000;0135 Råde (-2019);Djupvassfisk;0;0
2000;0135 Råde (-2019);Andre skaldyr og blautdyr;0;0
2000;0135 Råde (-2019);Annan fisk, uspesifisert;0;0
2000;0136 Rygge (-2019);Fisk i alt;0;0
2000;0136 Rygge (-2019);Pelagisk fisk;0;0
2000;0136 Rygge (-2019);Torsk og torskeartar;0;0
2000;0136 Rygge (-2019);Flatfisk og botnfisk;0;0
2000;0136 Rygge (-2019);Djupvassfisk;0;0
2000;0136 Rygge (-2019);Andre skaldyr og blautdyr;0;0
2000;0136 Rygge (-2019);Annan fisk, uspesifisert;0;0
2000;0137 Våler (Østfold) (-2019);Fisk i alt;0;0
2000;0137 Våler (Østfold) (-2019);Pelagisk fisk;0;0
2000;0137 Våler (Østfold) (-2019);Torsk og torskeartar;0;0
2000;0137 Våler (Østfold) (-2019);Flatfisk og botnfisk;0;0
